,file,frames,rate,width,height,case
0,33001_sessie1_taskrobotEngagement,2682,25,852,480,visible
1,33001_sessie2_taskrobotEngagement,8630,25,852,480,visible
2,33001_sessie3_taskrobotEngagement,2137,25,852,480,visible
3,33002_sessie1_taskrobotEngagement,2044,25,852,480,visible
4,33002_sessie2_taskrobotEngagement,3331,25,852,480,visible
5,33002_sessie3_taskrobotEngagement,2539,25,852,480,visible
6,33003_sessie1_taskrobotEngagement,2452,25,852,480,visible
7,33003_sessie3_robotEngagement1,3000,25,852,480,visible
8,33003_sessie3_taskrobotEngagement,2331,25,852,480,visible
9,33004_sessie1_taskrobotEngagement,3504,25,852,480,visible
10,33004_sessie2_taskrobotEngagement,2811,25,852,480,visible
11,33004_sessie3_taskrobotEngagement,2459,25,852,480,visible
12,33005_sessie1_taskrobotEngagement,2213,25,852,480,visible
13,33005_sessie2_taskrobotEngagement,3369,25,852,480,visible
14,33005_sessie3_taskrobotEngagement,2502,25,852,480,visible
15,33006_sessie1_taskrobotEngagement,2916,25,852,480,visible
16,33006_sessie2_taskrobotEngagement,2392,25,852,480,visible
17,33006_sessie3_taskrobotEngagement,2370,25,852,480,visible
18,33007_sessie1_taskrobotEngagement,2681,25,852,480,visible
19,33007_sessie2_taskrobotEngagement,2085,25,852,480,visible
20,33007_sessie3_taskrobotEngagement,2853,25,852,480,visible
21,33008_sessie1_taskrobotEngagement,2126,25,852,480,visible
22,33008_sessie2_taskrobotEngagement,3178,25,852,480,visible
23,33008_sessie3_taskrobotEngagement,3285,25,852,480,visible
24,33010_sessie1_taskrobotEngagement,3029,25,852,480,visible
25,33010_sessie2_taskrobotEngagement,2739,25,852,480,visible
26,33010_sessie3_taskrobotEngagement,3964,25,852,480,visible
27,33011_sessie2_robotEngagement1,3000,25,852,480,visible
28,33011_sessie2_taskrobotEngagement,2188,25,852,480,visible
29,33011_sessie3_taskrobotEngagement,2260,25,852,480,visible
30,33013_sessie3_robotEngagement3,1809,25,852,480,visible
31,33013_sessie3_taskEngagement1,2586,25,852,480,visible
32,33013_sessie3_taskrobotEngagement,2312,25,852,480,visible
33,Proefpersoon22016_Sessie1,3628,30,1280,720,visible
34,Proefpersoon22016_Sessie2,3748,30,1280,720,visible
35,Proefpersoon22016_Sessie3,3658,30,1280,720,visible
36,Proefpersoon22017_Sessie1,3628,30,1280,720,visible
37,Proefpersoon22017_Sessie2,3658,30,1280,720,visible
38,Proefpersoon22017_Sessie3,3658,30,1280,720,visible
39,Proefpersoon22018_Sessie1,3658,30,1280,720,visible
40,Proefpersoon22018_Sessie2,3718,30,1280,720,visible
41,Proefpersoon22018_Sessie3,3628,30,1280,720,visible
42,Proefpersoon22030_Sessie1,3688,30,1280,720,visible
43,Proefpersoon22030_Sessie2_Poging2,3718,30,1280,720,visible
44,Proefpersoon22030_Sessie3,3688,30,1280,720,visible
0,51007_sessie1_taskrobotEngagement,2399,25,1064,840,invisible
1,51009_sessie1_taskrobotEngagement,2821,25,1064,840,invisible
2,51010_sessie1_taskrobotEngagement,2516,25,1064,840,invisible
3,51007_sessie2_taskrobotEngagement,2862,25,1064,840,invisible
4,51007_sessie3_taskrobotEngagement,3169,25,1064,840,invisible
5,51009_sessie2_taskrobotEngagement,2431,25,1064,840,invisible
6,51009_sessie3_taskrobotEngagement,3929,25,1064,840,invisible
7,51010_sessie2_taskrobotEngagement,2705,25,1064,840,invisible
8,51010_sessie3_taskrobotEngagement,2115,25,1064,840,invisible
9,51011_sessie3_robotEngagement3,2122,25,1064,840,invisible
10,51011_sessie3_taskEngagement1,2970,25,1064,840,invisible
11,51011_sessie3_taskrobotEngagement,2878,25,1064,840,invisible
12,51013_sessie1_taskrobotEngagement,2635,25,1064,840,invisible
13,51013_sessie2_taskrobotEngagement,2731,25,1064,840,invisible
14,51013_sessie3_taskrobotEngagement,2451,25,1064,840,invisible
15,51014_sessie1_taskrobotEngagement,3270,25,1064,840,invisible
16,51014_sessie2_taskrobotEngagement,3690,25,1064,840,invisible
17,51014_sessie3_taskrobotEngagement,3515,25,1064,840,invisible
18,51015_sessie1_taskrobotEngagement,3628,30,1064,840,invisible
19,51015_sessie2_taskrobotEngagement,3658,30,1064,840,invisible
20,51015_sessie3_taskrobotEngagement,1821,25,1064,840,invisible
21,51016_sessie1_taskrobotEngagement,2615,25,1064,840,invisible
22,51016_sessie3_taskEngagement1,2440,25,1064,840,invisible
23,51016_sessie3_taskrobotEngagement,2631,25,1064,840,invisible
24,51017_sessie1_taskrobotEngagement,2101,25,1064,840,invisible
25,51017_sessie2_taskrobotEngagement,1987,25,1064,840,invisible
26,51017_sessie3_taskrobotEngagement,2187,25,1064,840,invisible
27,51019_sessie1_taskrobotEngagement,2310,25,1064,840,invisible
28,51019_sessie2_taskrobotEngagement,2825,25,1064,840,invisible
29,51019_sessie3_taskrobotEngagement,4084,25,1064,840,invisible
30,51020_sessie1_taskrobotEngagement,2347,25,1064,840,invisible
31,51020_sessie2_taskrobotEngagement,4928,25,1064,840,invisible
32,51020_sessie3_taskrobotEngagement,2556,25,1064,840,invisible
33,51021_sessie1_taskrobotEngagement,5170,25,1064,840,invisible
34,51021_sessie2_taskrobotEngagement,4397,25,1064,840,invisible
35,51021_sessie3_taskrobotEngagement,2243,25,1064,840,invisible
36,Proefpersoon11009_sessie1,3628,30,1064,840,invisible
37,Proefpersoon11009_sessie2,3658,30,1064,840,invisible
38,Proefpersoon11009_Sessie3,3748,30,1064,840,invisible
39,Proefpersoon11012_sessie1,4348,30,1064,840,invisible
40,Proefpersoon11012_sessie2,3988,30,1064,840,invisible
41,Proefpersoon11012_Sessie3,3928,30,1064,840,invisible
42,Proefpersoon11029_Sessie1,3658,30,1064,840,invisible
43,Proefpersoon11029_sessie2,3658,30,1064,840,invisible
44,Proefpersoon11029_sessie3,3658,30,1064,840,invisible
